CMDLINE ./runbudack.sh
MEM 3.492188 1636587802.2256
CHLD 0 20.031250 1636587802.2287
CHLD 1 37.234375 1636587802.2287
CHLD 2 37.136719 1636587802.2288
CHLD 3 37.363281 1636587802.2288
CHLD 4 37.183594 1636587802.2288
MEM 3.492188 1636587802.3292
CHLD 0 20.031250 1636587802.3320
CHLD 1 37.234375 1636587802.3320
CHLD 2 37.136719 1636587802.3320
CHLD 3 37.363281 1636587802.3321
CHLD 4 37.183594 1636587802.3321
MEM 3.492188 1636587802.4323
CHLD 0 20.031250 1636587802.4362
CHLD 1 37.363281 1636587802.4363
CHLD 2 37.136719 1636587802.4363
CHLD 3 37.363281 1636587802.4363
CHLD 4 37.183594 1636587802.4363
MEM 3.492188 1636587802.5367
CHLD 0 20.031250 1636587802.5405
CHLD 1 37.363281 1636587802.5406
CHLD 2 37.265625 1636587802.5406
CHLD 3 37.363281 1636587802.5406
CHLD 4 37.183594 1636587802.5406
MEM 3.492188 1636587802.6409
CHLD 0 20.031250 1636587802.6437
CHLD 1 37.492188 1636587802.6437
CHLD 2 37.265625 1636587802.6437
CHLD 3 37.363281 1636587802.6437
CHLD 4 37.312500 1636587802.6437
MEM 3.492188 1636587802.7440
CHLD 0 20.031250 1636587802.7472
CHLD 1 37.492188 1636587802.7472
CHLD 2 37.265625 1636587802.7472
CHLD 3 37.492188 1636587802.7472
CHLD 4 37.312500 1636587802.7473
MEM 3.492188 1636587802.8475
CHLD 0 20.031250 1636587802.8505
CHLD 1 37.492188 1636587802.8505
CHLD 2 37.394531 1636587802.8505
CHLD 3 37.492188 1636587802.8506
CHLD 4 37.312500 1636587802.8506
MEM 3.492188 1636587802.9508
CHLD 0 20.031250 1636587802.9538
CHLD 1 37.492188 1636587802.9538
CHLD 2 37.394531 1636587802.9538
CHLD 3 37.492188 1636587802.9539
CHLD 4 37.312500 1636587802.9539
MEM 3.492188 1636587803.0542
CHLD 0 20.031250 1636587803.0570
CHLD 1 37.621094 1636587803.0570
CHLD 2 37.394531 1636587803.0570
CHLD 3 37.492188 1636587803.0570
CHLD 4 37.312500 1636587803.0570
MEM 3.492188 1636587803.1573
CHLD 0 20.031250 1636587803.1610
CHLD 1 37.621094 1636587803.1611
CHLD 2 37.394531 1636587803.1611
CHLD 3 37.492188 1636587803.1611
CHLD 4 37.312500 1636587803.1611
MEM 3.492188 1636587803.2614
CHLD 0 20.031250 1636587803.2648
CHLD 1 37.621094 1636587803.2648
CHLD 2 37.523438 1636587803.2648
CHLD 3 37.621094 1636587803.2648
CHLD 4 37.441406 1636587803.2648
MEM 3.492188 1636587803.3651
CHLD 0 20.031250 1636587803.3678
CHLD 1 37.750000 1636587803.3678
CHLD 2 37.523438 1636587803.3679
CHLD 3 37.621094 1636587803.3679
CHLD 4 37.441406 1636587803.3679
MEM 3.492188 1636587803.4682
CHLD 0 20.031250 1636587803.4722
CHLD 1 37.750000 1636587803.4723
CHLD 2 37.523438 1636587803.4723
CHLD 3 37.621094 1636587803.4723
CHLD 4 37.441406 1636587803.4723
MEM 3.492188 1636587803.5731
CHLD 0 20.031250 1636587803.5758
CHLD 1 37.750000 1636587803.5758
CHLD 2 37.523438 1636587803.5759
CHLD 3 37.621094 1636587803.5759
CHLD 4 37.441406 1636587803.5759
MEM 3.492188 1636587803.6762
CHLD 0 20.031250 1636587803.6791
CHLD 1 37.750000 1636587803.6791
CHLD 2 37.523438 1636587803.6792
CHLD 3 37.750000 1636587803.6792
CHLD 4 37.570312 1636587803.6792
MEM 3.492188 1636587803.7797
CHLD 0 20.031250 1636587803.7825
CHLD 1 37.878906 1636587803.7825
CHLD 2 37.523438 1636587803.7826
CHLD 3 37.750000 1636587803.7826
CHLD 4 37.570312 1636587803.7826
MEM 3.492188 1636587803.8829
CHLD 0 20.031250 1636587803.8864
CHLD 1 37.878906 1636587803.8864
CHLD 2 37.652344 1636587803.8864
CHLD 3 37.750000 1636587803.8864
CHLD 4 37.570312 1636587803.8865
MEM 3.492188 1636587803.9868
CHLD 0 20.031250 1636587803.9899
CHLD 1 37.878906 1636587803.9899
CHLD 2 37.652344 1636587803.9899
CHLD 3 37.750000 1636587803.9899
CHLD 4 37.570312 1636587803.9899
MEM 3.492188 1636587804.0902
CHLD 0 20.031250 1636587804.0929
CHLD 1 37.878906 1636587804.0929
CHLD 2 37.652344 1636587804.0930
CHLD 3 37.750000 1636587804.0930
CHLD 4 37.570312 1636587804.0930
